word_dutch,translate_word_english,familiar_mean,familiar_sd,familiar_n,category,goodness_mean,goodness_sd,goodness_n,typicality_mean,typicality_sd,typicality_n,dont_know_responses,n_know_item,imagine_mean,imagine_sd,log(lemmaFreq),age of acquisition,% known
fornuis,stove,3.607142857,0.956044541,28,kitchen utensils,18.39285714,2.884688644,28,18.46428571,2.411118426,28,0,31,5.870967742,1.543630687,2.350248018,7.625,99.72752044
framboos,raspberry,3.321428571,0.669636243,28,fruit,14.78571429,4.349177384,28,16.25,3.284362501,28,0,30,5.266666667,1.617433756,1.86332286,7,100
frigo,fridge,4.571428571,0.690065559,28,kitchen utensils,16.5,4.114113018,28,15.82142857,5.033617147,28,1,32,6.375,0.906962317,2.389166084,6.416666667,99.18918919
fruitvlieg,fruit fly,2.928571429,0.939998874,28,insects,13.71428571,6.181556455,28,16.25,4.300086132,28,0,31,4.677419355,1.83279562,0,11.70833333,93.56435644
gekko,gecko,1.928571429,0.662686532,28,reptiles,12.81481481,5.744810615,27,14.44,4.555948493,25,10,22,4.272727273,2.142135521,1.113943352,12.75,80.26315789
geweer,rifle,3.321428571,0.772373515,28,weapons,19.14285714,1.994701977,28,19.39285714,1.030615987,28,0,31,6.064516129,1.030711207,3.285557309,6.416666667,100
gier,vulture,2.285714286,0.712696645,28,birds,14.14285714,5.372869333,28,15.14285714,4.453166046,28,0,29,4.448275862,2.080285126,2.46686762,8.681818182,96.80589681
giraf,giraffe,2.964285714,0.881166855,28,mammals,16.60714286,3.119108202,28,15.96428571,3.271449366,28,0,32,6.65625,0.901946819,1.602059991,6.208333333,99.5
gitaar,guitar,3.857142857,0.705233647,28,musical instruments,18.67857143,2.450299625,28,19.25,1.1426091,28,0,33,6.727272727,0.574060497,2.416640507,6.041666667,100
glas,glass,4.928571429,0.262265264,28,kitchen utensils,16,3.517153731,28,14.32142857,4.190408549,28,0,38,6.368421053,0.85174075,3.812043898,5.166666667,97.90026247
gocart,go-cart,2.892857143,0.956044541,28,vehicles,25,,,9.964285714,4.358747211,28,0,33,5.818181818,1.628928817,0,6.681818182,97.81553398
golf,golfing,2.571428571,0.741798187,28,sports,11.67857143,5.106666459,28,12.39285714,5.632835519,28,0,33,5.787878788,1.430855857,3.618361931,8.043478261,95.83333333
goudvis,goldfish,3.357142857,0.678466993,28,fish,18.46428571,3.415456619,28,18.89285714,2.558056058,28,0,37,6.540540541,0.690997451,1.934498451,5.304347826,99.25742574
granaat,grenade,2.714285714,0.712696645,28,weapons,17.85714286,3.738828156,28,17.32142857,3.127578301,28,0,31,6.064516129,1.030711207,2.5132176,8.75,100
