word_italian,translate_word_english,concrete_mean,concrete_sd,imagine_mean,imagine_sd,familiar_mean,familiar_sd,aoa_mean,aoa_sd,ca,casd,abs,abssd,moa_mean,moa_sd,length
Conchiglia,shell,697,17.15,694,23.88,527,175.12,240,75.39,642,141.16,100,0.00,144,70.46,10
Conte,earl,558,152.26,573,116.29,371,202.30,356,98.17,504,166.46,196,112.21,435,210.95,5
Corallo,coral,650,96.36,638,120.64,441,177.73,358,97.43,570,210.51,144,113.33,369,174.05,7
Corona,crown,668,71.62,647,107.97,488,182.18,242,113.89,585,198.08,153,150.22,300,126.49,6
Cravatta,tie,694,23.88,688,43.97,552,187.29,250,92.93,675,57.74,105,22.36,200,120.19,8
Cristallo,crystal,661,82.69,584,134.41,439,181.90,374,137.75,581,116.73,165,81.27,332,124.96,9
Cucchiaio,spoon,689,45.88,694,34.30,679,53.53,148,75.50,682,45.86,106,25.00,288,195.16,9
Cugino,cousin,638,80.62,584,153.71,555,190.07,215,98.81,621,129.75,156,110.62,240,175.59,6
Cuoco,cook,665,81.21,676,60.60,587,168.47,280,69.59,617,149.39,114,35.86,226,121.38,5
Cuore,heart,625,85.63,668,67.10,623,109.62,230,92.34,626,118.86,212,145.15,356,189.47,5
Denaro,money,624,104.62,668,69.04,621,131.71,276,88.96,631,119.55,145,82.56,247,138.92,6
Diamante,diamond,650,89.44,637,149.85,505,147.44,340,114.25,612,127.36,126,66.56,356,218.10,8
Divano,couch,694,23.88,676,66.33,679,73.98,174,66.56,700,0.00,100,0.00,153,96.43,6
Elefante ,elephant,669,60.21,695,22.94,482,176.59,210,78.81,618,144.54,100,0.00,296,190.35,9
Elicottero,helicopter,675,57.74,689,45.88,468,166.81,220,83.35,585,161.68,106,23.88,268,188.68,10
Equipaggio,crew,519,155.86,521,154.84,350,144.19,365,138.70,521,166.57,215,107.68,500,163.30,10
Erba,grass,695,22.94,691,28.79,663,59.73,167,64.55,656,107.85,113,34.16,313,182.10,4
Esercito,army,621,106.68,618,119.27,507,170.99,325,71.64,608,101.80,157,74.64,394,163.19,8
Falce,sickle ,662,81.70,632,129.62,387,184.65,365,104.00,575,170.04,129,56.06,288,132.03,5
Famiglia,family,541,153.25,629,105.97,682,57.58,192,77.55,680,41.04,212,151.29,206,138.89,8
Ferita,wound,625,123.83,642,90.16,500,208.70,230,103.11,618,111.38,171,103.07,168,90.00,6
Ferro,iron,661,88.23,633,89.97,573,156.67,278,79.25,587,132.47,154,93.15,175,78.64,5
Fiamma,flame,652,81.12,687,35.19,541,153.97,266,106.59,652,73.05,175,94.41,135,58.71,6
Flotta,fleet,600,120.19,644,74.64,442,171.00,330,95.15,582,166.01,163,71.88,375,190.39,6
Folla,crowd,581,129.67,674,54.08,558,198.09,319,110.87,647,123.67,221,97.79,297,106.21,5
Fontana,fountain,685,43.57,676,59.72,561,174.89,209,75.35,613,108.78,105,22.36,147,77.23,7
Forbici,scissors,697,17.96,700,0.00,644,110.62,222,60.82,661,94.09,146,125.04,130,47.02,7
Forchetta,fork,695,22.94,697,17.15,689,45.88,158,61.39,674,66.56,106,25.00,313,205.98,9
Formaggio,cheese,677,58.70,700,0.00,637,130.00,150,63.25,682,57.58,112,32.70,144,91.36,9
Foschia,mist,556,148.10,548,144.68,436,179.96,406,109.93,506,176.89,220,150.79,342,164.37,7
Fragola,strawberry,700,0.00,700,0.00,659,58.98,170,57.12,632,124.85,100,0.00,136,70.00,7
Fratello,brother,641,98.83,641,120.90,647,91.55,200,56.20,600,138.31,124,43.64,159,92.50,8
Fumo,smoke,613,136.01,647,96.43,586,162.13,245,143.18,618,114.07,182,108.63,252,173.49,4
Fungo,mushroom ,700,0.00,658,138.71,527,148.38,205,68.63,606,149.63,109,28.79,208,135.15,5
Gallina,chicken,687,71.84,700,0.00,591,154.46,178,65.91,661,65.64,125,60.79,140,94.03,7
Gallo,cock,700,0.00,695,22.94,486,174.00,215,74.52,600,139.26,112,53.74,212,148.10,5
Ghiaccio,ice,679,53.82,679,41.04,580,156.75,225,85.07,608,113.89,119,40.24,171,97.01,8
Giacca,jacket,695,21.32,674,105.34,653,92.88,208,82.97,670,57.12,100,0.00,206,128.94,6
Giardino,garden,695,21.32,656,113.33,665,91.73,175,79.40,645,88.70,121,47.86,238,140.83,8
Giraffa ,giraffe,681,49.15,674,68.87,463,238.54,181,54.39,644,141.83,106,23.88,306,177.69,8
Guerriero,warrior,563,136.01,616,121.40,395,177.04,270,92.34,518,191.44,203,102.94,436,175.31,9
Gufo ,owl,685,70.20,676,69.89,480,193.46,265,74.52,625,115.16,124,70.03,244,123.56,5
Infermiera,nurse,630,110.35,640,95.74,579,151.57,285,98.88,631,125.00,125,44.43,317,161.79,10
Ingegnere,engineer,621,76.99,544,180.46,530,184.53,456,152.14,556,145.92,137,68.40,400,173.21,9
Insalata,salad,685,46.41,687,34.44,684,50.15,200,81.65,676,49.60,109,28.79,147,98.32,8
Insegnante,teacher,624,125.67,648,115.90,642,117.34,256,85.96,663,80.62,145,99.87,211,114.96,10
Insetto,insect,684,50.15,671,105.97,621,131.57,203,80.95,647,105.13,119,40.31,350,197.04,7
Inverno,winter,542,150.24,603,138.14,658,116.98,221,82.00,612,134.31,313,136.01,375,141.94,7
Investigatore,detective,588,102.47,595,126.81,400,205.17,330,97.87,506,190.60,212,132.03,464,211.90,13
Labirinto,maze,550,179.65,597,144.57,393,186.96,330,92.34,442,190.92,248,169.17,353,137.59,9
Ladro,thief,605,132.66,629,124.39,571,160.55,263,82.42,650,88.85,121,41.04,375,177.01,5
Lago,lake,676,78.08,679,59.18,553,145.73,240,68.06,633,109.01,119,40.24,215,132.88,4
Lampada,lamp,700,0.00,700,0.00,665,84.86,197,59.48,674,86.43,117,38.07,145,82.56,7
Latte,milk,695,21.32,662,110.14,674,56.72,138,64.69,675,44.43,103,17.15,181,132.76,5
Lavoratore,worker,618,131.36,538,157.66,587,155.23,315,93.33,621,131.81,162,97.35,374,176.34,10
Leone,lion,681,47.74,687,35.19,553,158.09,178,55.27,648,94.72,133,56.47,155,99.87,5
Letto,bed,697,17.96,693,25.82,676,43.06,166,60.16,683,49.10,113,44.84,110,30.78,5
Libreria,bookcase,688,32.70,685,35.95,660,73.68,275,91.05,638,109.59,110,43.64,197,93.70,8
Limone ,lemon,695,22.94,691,28.79,653,77.23,176,79.18,668,76.75,106,25.00,288,183.31,7
Madre,mother,668,67.10,688,40.93,700,0.00,136,65.28,685,43.57,156,96.39,275,205.80,5
Maiale,pig,700,0.00,697,17.15,593,157.96,215,67.08,642,128.25,100,0.00,185,110.46,6
Malattia,disease,497,147.16,487,145.73,618,108.63,219,54.28,609,127.61,263,140.84,270,152.52,8
Marea,tide,535,159.86,561,133.96,416,170.83,413,102.47,579,157.21,221,138.78,419,144.66,5
Martello,hammer,700,0.00,697,17.15,595,171.51,209,84.27,653,118.67,106,25.00,275,188.84,8
Matita,pencil,694,23.88,684,55.38,679,78.09,194,73.61,694,25.00,100,0.00,121,41.89,6
Matrimonio,wedding,489,162.94,621,106.68,616,134.43,248,83.37,632,114.73,313,125.83,375,170.42,10
Mela,apple,694,23.88,676,59.72,670,68.40,156,70.46,694,25.00,100,0.00,121,71.33,4
Melanzana,eggplant,700,0.00,695,22.94,545,153.23,275,129.27,600,179.22,100,0.00,208,149.78,9
Mendicante,beggar,637,101.16,629,97.01,405,192.85,333,102.06,574,148.34,163,71.88,300,190.78,10
Minerale,mineral,627,88.27,538,145.67,447,170.98,396,99.91,505,208.94,174,108.18,388,125.83,8
Mucca,cow,691,29.42,662,110.14,618,126.66,163,64.69,680,52.31,100,0.00,206,112.36,5
Muscolo,muscle,623,114.22,635,111.23,616,138.50,344,136.47,588,168.35,156,107.85,319,153.32,7
Musica,music,473,175.07,459,189.29,676,55.37,188,74.09,630,130.18,291,188.08,200,96.61,6
Naso,nose,688,33.14,680,50.00,658,100.09,141,55.69,688,34.16,100,0.00,116,37.46,4
Negozio,shop,668,53.49,648,91.83,658,86.71,221,64.10,656,89.21,125,44.43,163,83.07,7
Noce,walnut,694,23.88,668,69.04,591,162.72,235,94.97,638,108.78,105,22.36,147,69.67,4
Nomade,nomad,588,112.18,548,147.54,339,180.17,418,126.66,544,141.27,190,102.08,416,167.54,6
Nonno,grandfather,674,56.20,685,50.04,689,45.88,118,39.17,647,137.59,125,44.72,350,208.99,5
Notte,night,571,100.64,660,73.68,688,40.93,163,55.36,665,83.17,221,102.06,130,57.12,5
Oca ,goose,685,54.35,700,0.00,468,221.24,150,51.64,659,107.64,106,23.88,197,133.16,4
Oceano,ocean,594,99.79,642,90.16,555,134.40,295,105.01,594,141.30,165,101.15,396,164.52,6
Ombrello,umbrella,677,81.52,700,0.00,647,90.48,175,77.46,688,40.93,103,17.15,128,52.27,8
Orologio,clock,688,34.16,647,142.86,659,89.13,210,85.22,624,118.22,118,45.86,144,86.99,8
Orso,bear,659,104.79,700,0.00,487,172.65,225,71.64,642,97.43,110,30.08,265,145.40,4
Ospedale,hospital,658,84.75,693,25.82,656,70.46,241,83.70,696,20.85,167,86.81,270,149.03,8
Ospite,guest,550,162.57,497,146.65,594,125.39,322,90.23,580,110.50,221,157.21,338,108.78,6
Palma,palm,679,64.10,688,32.70,487,164.17,311,113.18,650,72.23,110,30.08,244,133.01,5
Palude,swamp,645,76.76,613,112.55,332,193.41,341,94.56,578,165.02,175,89.69,310,204.94,6
Pantaloni,trousers,658,94.54,696,20.85,684,37.46,144,62.92,682,71.65,115,35.95,125,50.80,9
Pappagallo ,parrot,686,35.13,668,94.45,541,179.42,196,76.74,620,119.65,100,0.00,244,109.35,11
Passeggero,passenger,625,118.32,574,148.48,536,140.86,305,105.01,594,125.39,185,101.90,372,159.48,10
Pecora ,sheep,695,22.94,694,23.88,595,139.34,173,71.91,626,146.28,113,34.16,413,205.44,7
Pelle,skin,668,94.45,656,85.96,667,48.80,235,98.81,638,143.90,129,56.06,159,74.34,5
Pennello,brush,691,42.64,665,109.77,547,161.87,229,95.46,635,130.89,106,23.88,256,141.27,8
Peperone,pepper,700,0.00,697,17.15,647,84.12,218,68.26,647,102.20,106,25.00,300,184.51,8
Pera,pear,694,23.88,684,47.26,627,112.56,153,61.47,694,25.00,100,0.00,132,74.93,4
Perla,pearl,687,34.08,680,41.40,497,193.04,331,114.83,613,125.42,129,55.00,225,137.17,5
Persone,people,611,93.66,644,133.01,663,76.09,173,76.13,615,115.82,200,131.66,300,180.68,7
Pescatore,fisherman,661,71.54,673,45.77,509,192.85,244,75.94,626,135.57,142,58.36,215,93.33,9
Pianeta,planet,563,145.49,663,59.73,482,187.45,300,85.84,547,174.49,241,153.97,444,182.76,7
Pianta,plant,681,40.16,687,35.19,635,109.77,181,69.27,657,112.11,125,53.16,160,82.08,6
Piccione ,pigeon,691,42.64,662,120.64,618,108.63,192,77.55,655,99.87,103,17.15,225,106.46,9
Pistola,gun,671,79.88,694,23.88,543,186.94,265,93.33,613,122.70,114,35.86,279,153.31,7
Poltrona,armchair,669,83.76,687,34.44,605,135.29,213,80.62,676,104.62,106,23.88,138,79.31,8
Polvere,dust,668,71.62,615,130.58,626,96.32,254,114.13,575,183.17,174,126.27,269,94.65,7
Pomodoro ,tomato,700,0.00,689,31.53,645,99.41,195,60.48,674,66.56,100,0.00,144,86.99,9
Prete,priest,700,0.00,647,99.19,632,114.73,233,104.95,660,88.26,138,115.51,288,154.38,5
Prigioniero,prisoner,563,140.83,589,110.02,400,194.18,280,100.52,576,168.88,197,138.14,464,195.53,11
Primavera,spring,475,152.75,526,152.18,577,115.41,230,92.34,532,180.44,315,132.88,296,159.37,9
Principe,prince,571,150.98,633,111.27,476,223.01,219,69.27,578,170.44,175,94.41,355,211.45,8
Psicologo,psychologist,591,162.12,541,149.99,687,35.19,515,138.70,679,58.82,233,142.59,552,166.06,9
Quercia,oak,674,75.11,644,104.40,485,210.83,291,105.51,644,96.39,110,30.78,189,128.65,7
Regina,queen,603,122.43,653,91.55,509,191.28,200,67.20,600,157.36,167,81.65,350,221.24,6
Romanzo,novel,584,136.86,633,97.59,591,140.06,397,86.08,600,138.17,192,124.82,420,209.26,7
Sabbia,sand,682,50.11,647,116.09,588,129.72,167,63.70,650,119.21,118,52.05,200,121.11,6
Sale,salt,673,72.43,670,63.50,674,56.20,188,71.88,674,75.11,109,28.79,188,145.36,4
Sarto,tailor,674,56.20,650,74.87,479,217.51,306,96.63,615,137.36,156,96.39,388,197.22,5
Scarpa,shoe,700,0.00,695,22.94,659,78.27,170,57.12,650,89.61,100,0.00,128,67.82,6
Scatola,box,684,37.46,697,17.15,674,80.57,145,61.70,641,104.79,113,34.16,325,196.10,7
Schiavo,slave,596,128.00,613,117.95,395,209.43,356,81.39,524,213.28,244,121.08,478,187.92,7
Scintilla,spark,600,115.47,597,156.64,453,177.93,278,79.52,515,208.44,194,145.52,381,155.86,9
Scopa,broom,700,0.00,676,88.96,653,92.88,192,71.73,675,44.43,100,0.00,225,161.25,5
Scrivania,desk,700,0.00,697,17.15,680,41.40,280,76.78,667,56.47,110,30.08,168,97.61,9
Scuola,school,597,132.88,680,41.40,685,35.95,219,53.51,670,70.29,196,110.69,235,138.70,6
Sedia,chair,673,82.74,700,0.00,674,65.34,150,63.25,682,45.86,106,23.88,119,47.09,5
Segretaria,secretary,654,85.93,648,84.58,558,153.90,400,103.28,647,99.19,141,65.68,331,153.32,10
Servo,servant,550,126.49,542,134.64,350,183.08,310,96.79,479,214.31,215,125.85,500,197.91,5
Soldato,soldier,642,88.60,673,59.36,518,181.69,306,136.64,648,137.74,150,78.02,225,120.85,7
Sole,sun,623,114.22,683,49.10,668,67.10,150,63.25,682,57.58,141,74.34,169,120.32,4
Sorriso,smile,600,149.07,685,43.57,637,111.61,152,79.53,644,121.08,206,85.39,338,176.57,7
Specchio,mirror,650,94.87,678,85.05,616,111.87,194,85.39,662,132.61,115,55.77,156,124.27,8
Stanza,room,674,44.48,667,72.37,679,41.04,194,61.89,674,61.92,146,65.80,145,82.56,6
Statua,statue,691,28.79,685,35.95,540,150.24,290,78.81,579,158.74,105,21.82,241,110.42,6
Stazione,station,668,68.40,680,50.00,642,143.68,268,100.67,675,77.46,135,67.08,211,104.85,8
Stella,star,619,94.58,667,61.72,600,136.93,184,57.41,657,112.11,196,116.02,180,123.97,6
Stivale ,boot,692,27.17,691,28.81,563,173.88,213,95.74,632,138.65,103,17.15,175,113.59,8
Strega,witch,500,196.64,637,101.16,432,210.50,225,101.95,538,180.93,274,137.75,456,204.29,6
Studente,student,658,70.27,643,94.51,684,50.15,300,109.54,682,52.05,179,88.01,281,189.12,8
Sveglia,alarm clock,682,57.58,688,40.93,680,41.40,290,85.22,654,114.13,105,21.82,174,86.37,7
Tavolo ,table,697,17.15,697,17.15,700,0.00,195,68.63,667,81.65,105,21.82,150,99.24,7
Telegrafo,telegraph,614,145.72,556,143.95,321,175.43,438,127.90,455,235.03,153,123.67,531,125.00,9
Temporale,storm,621,80.83,644,91.65,664,78.33,191,57.04,625,123.83,140,68.06,158,83.77,9
Teschio,skull,581,186.97,684,50.15,364,190.07,300,112.39,503,211.04,153,82.52,372,218.94,7
Tomba,tomb,631,115.82,674,44.90,389,237.80,300,103.28,682,45.86,129,52.39,306,188.26,5
Topo,mouse,665,105.61,696,20.85,605,164.90,163,50.00,629,162.42,112,40.93,203,140.24,4
Torre,tower,656,62.92,674,45.24,423,202.16,245,88.70,579,162.89,129,76.00,228,159.48,5
Torta,cake,700,0.00,697,17.15,647,83.38,185,74.52,654,88.36,100,0.00,141,60.89,5
Trapano ,drill,685,46.41,687,34.44,495,164.90,269,94.65,644,125.99,106,23.88,203,114.96,8
Trattore ,tractor,685,43.57,672,73.71,482,211.33,209,75.35,669,60.21,105,22.36,216,167.54,9
Turista,tourist,621,103.17,671,62.91,632,145.50,294,102.89,650,108.01,181,116.73,288,185.50,7
Uniforme,uniform,637,89.51,609,165.82,432,176.55,330,98.38,576,182.67,181,204.02,388,180.48,8
Università,university,574,126.41,693,25.82,691,28.79,468,97.94,696,20.85,217,146.46,420,185.25,10
Uova,egg,700,0.00,700,0.00,660,73.68,215,74.52,675,53.16,105,21.82,135,69.12,4
Uva,grapes,700,0.00,671,105.97,645,103.35,179,65.80,630,117.43,118,102.90,213,108.78,3
Vedova,widow,558,177.03,578,112.64,421,196.01,425,129.10,571,193.11,191,96.51,416,164.83,6
Veleno,poison,550,176.24,438,172.35,400,185.16,295,105.01,396,173.15,210,113.60,476,143.67,6
Zebra,zebra,664,90.21,674,89.81,509,181.52,221,88.36,640,131.39,106,23.88,238,120.42,5
Zucca,pumpkin,700,0.00,695,22.94,459,190.28,255,119.10,588,160.99,106,23.88,200,129.10,5
Zucchero,sugar,700,0.00,658,138.71,668,76.48,180,61.56,659,95.72,115,43.57,140,86.60,8
