word_croatian,imagine_mean,imagine_sd,frequency_mean,frequency_sd,concrete_mean,concrete_sd,familiar_mean,familiar_sd,aoa_mean,aoa_sd
KINO,4.545454545,0.820199532,3.454545455,1.293339581,4.888888889,0.333333333,4.888888889,0.333333333,4.142857143,2.968084199
KIP,4.96,0.2,3.2,1.290994449,,,,,,
KIST,4.833333333,0.530668631,2.6,1.753813579,,,,,,
KIČMA,4.272727273,0.904534034,4,0.774596669,4.818181818,0.603022689,4.727272727,0.467099366,7.454545455,2.978712351
KIŠA,4.909090909,0.301511345,4.727272727,0.467099366,5,0,5,0,2.111111111,1.900292375
KIŠAN,4.272727273,0.904534034,3.545454545,1.293339581,4.363636364,1.026910636,4.636363636,0.674199862,5.4,2.458545189
KIŠNO,3.818181818,1.60113596,3.181818182,1.250454463,3.727272727,1.555050423,5,0,6.545454545,3.908033684
KIŠOBRAN,5,0,4.8,0.421637021,4.8,0.632455532,5,0,3.5,1.900292375
KLAUN,4.727272727,0.646669791,3.636363636,1.286291357,4.6,0.699205899,4.7,0.674948558,5.2,3.552776692
KLEKNUTI,4.5,0.707106781,3.4,0.966091783,3.5,1.433720878,4.7,0.948683298,5.6,2.319003617
KLEPSIDRA,1.7,1.33749351,1.4,1.264911064,2.666666667,1.322875656,1.777777778,1.201850425,3.222222222,8.378212485
KLICATI,2.636363636,1.361816968,2,0.894427191,3.363636364,1.206045378,3.181818182,1.328019715,11.88888889,6.603870919
KLIMATI,4.090909091,0.943879807,3.636363636,0.924416278,3.636363636,1.206045378,4.909090909,0.301511345,5.8,1.87379591
KLIMATI SE,3.7,1.159501809,3,1.414213562,3.4,1.264911064,4.6,0.843274043,6.333333333,3.741657387
KLIN,4.217391304,1.241572381,2.347826087,1.368765059,,,,,,
KLINAC,4.2,0.788810638,3,0.666666667,4.2,0.788810638,4.3,0.823272602,5.5,2.321398046
KLIZALJKE,4.903225806,0.396218686,2.129032258,1.258092087,,,,,,
KLIZATI,5,,5,,,,,,,
KLIZATI SE,4.9,0.316227766,3.6,1.173787791,4.8,0.421637021,5,0,4.888888889,1.536590743
KLJOVE,3.909090909,1.578261414,2,1.341640786,4.1,1.663329993,3.9,1.523883927,8.111111111,5.109903239
KLJUN,4.826086957,0.383223047,2.565217391,1.360590949,,,,,,
KLJUČ,5,0,4.93442623,0.249589827,,,,,,
KLJUČEVI,4.636363636,1.206045378,5,0,5,0,4.6,1.264911064,4,1.632993162
KLOKAN,4.795454545,0.593748261,2.659090909,1.237837233,,,,,,
KLONUTI,3.727272727,1.103712743,2.727272727,1.489356176,4,1.095445115,4.272727273,1.009049958,12.9,2.806737925
KLUB,4.363636364,1.026910636,3.818181818,1.167748416,4.454545455,0.820199532,5,0,10.2,3.521363372
KLUPA,5,0,4.181818182,0.981649817,4.9,0.316227766,4.9,0.316227766,4.1,1.100504935
KNJIGA,5,0,4.909090909,0.301511345,5,0,5,0,3.9,1.370320319
KNJIŽICA,5,0,3.909090909,1.136181804,4.909090909,0.301511345,4.818181818,0.404519917,5.8,1.988857852
KOBASICA,4.9,0.316227766,4.2,1.032795559,4.888888889,0.333333333,4.777777778,0.666666667,4.222222222,1.56347192
KOBRA,4.777777778,0.559581373,2.688888889,1.293730024,,,,,,
KOCKA,4.727272727,0.904534034,4.272727273,1.103712743,5,0,5,0,4.333333333,1.658312395
KOCKAR,3.954545455,1.275065807,2.8,1.324592562,,,,,,
KOCKICE,5,0,3.52173913,1.343995577,,,,,,
KODEKS,2.720930233,1.333194899,2.465116279,1.241136906,,,,,,
KOJEŠTA,1.272727273,0.904534034,1.636363636,0.924416278,1.363636364,0.504524979,3.363636364,1.120064933,12.4,3.777124126
KOJI,1.652173913,1.265223504,4.173913043,1.556574734,,,,,,
KOKICE,4.636363636,1.206045378,3.636363636,1.120064933,4.888888889,0.333333333,5,0,5.444444444,2.297341459
KOKOS,4.791666667,0.508977378,2.5,1.179535649,,,,,,
KOKOŠ,4.925925926,0.384900179,3.925925926,1.384694521,,,,,,
KOKOŠINJAC,4.666666667,0.67936622,2.777777778,1.527525232,,,,,,
KOLA,4.727272727,0.646669791,3.363636364,1.433368569,4.818181818,0.603022689,4.363636364,0.674199862,6.545454545,3.110100846
KOLAČ,4.9375,0.245934688,4.96875,0.176776695,,,,,,
KOLEGA,4.545454545,0.687551651,4.454545455,0.522232968,4.727272727,0.467099366,4.909090909,0.301511345,11.9,4.383048153
KOLEGICA,4.090909091,1.300349603,4.545454545,1.213559752,4.090909091,1.300349603,5,0,9.2,5.692099788
KOLICA,4.9,0.316227766,4,0.942809042,5,0,5,0,2.625,1.597989809
KOLIJEVKA,3.909090909,1.700267359,2,1.264911064,4.6,0.966091783,4.6,0.966091783,6.333333333,5.852349955
KOLIKI,2.3,0.948683298,4.3,0.823272602,2.2,1.135292424,4.4,0.699205899,6,3.496029494
KOLJENO,4.909090909,0.301511345,4.454545455,0.687551651,5,0,5,0,3.3,1.251665557
KOLONA,4.565217391,0.787752093,3.173913043,1.696310808,,,,,,
KOMA,3.9,1.286683938,3.1,0.875595036,3.9,1.100504935,4.7,0.674948558,10.3,3.653004851
KOMAD,3.909090909,1.445997611,4.727272727,0.646669791,4,1.095445115,5,0,4.888888889,1.615893286
KOMADIĆ,4.7,0.674948558,4.5,0.971825316,4.6,0.516397779,5,0,4.1,1.100504935
KOMARAC,4.967741935,0.179605302,4.612903226,0.715421524,,,,,,
KOMBI,4.966666667,0.182574186,3.5,1.40810462,,,,,,
KOMBINEZON,4.636363636,0.6850873,3.045454545,1.293176105,,,,,,
KOMENTAR,2.7,1.33749351,3.9,1.197219,3.3,1.251665557,4.5,0.849836586,8.666666667,3.354101966
KOMPAS,4.636363636,1.206045378,2.727272727,1.272077756,4.8,0.632455532,5,0,7.111111111,2.571208103
KOMPLEKS,2.272727273,1.103712743,3.090909091,1.375103302,2.636363636,1.629277587,4.090909091,1.136181804,14.57142857,2.760262237
KOMPLICIRAN,2.636363636,1.361816968,4,1.095445115,2.363636364,1.433368569,5,0,8,3.354101966
KOMPLICIRANO,2.636363636,1.566698904,3.545454545,0.820199532,2.818181818,1.328019715,4.818181818,0.603022689,8.363636364,3.233348953
KOMUNICIRATI,4.090909091,1.044465936,3.727272727,1.793929156,3.181818182,1.53741223,4.818181818,0.404519917,8.6,2.988868236
KONAC,5,0,3.933333333,1.387961376,,,,,,
