"targetWord","score.std.gusto","score.gusto","score.std.olfatto","score.olfatto","score.std.tatto","score.tatto","score.std.udito","score.udito","score.std.vista","score.vista","maxPercepStrength.std","maxPercepStrength","domSense","sumPercepStrength.std","sumPercepStrength","entropy","modalityExclusivity","length","CDcount","zipf","fpmw","LogFmpw","ortographNeigh","ortographLevenshtein","FAM.std","FAM","AoA.std","AoA","CA.std","CA"
"bollente",0.015,1.769,-0.384,0.897,1.558,4.923,-0.437,0.821,0.605,3,1.558,4.923,"tatto",1.357,11.41,1.392,0.36,8,714,3.84,6.943,0.842,5,1.65,0.817,6.333,-0.863,3.3,0.926,6.684
"borbottante",-0.844,0,-0.815,0.054,-0.619,0.486,1.507,4.946,0.358,2.556,1.507,4.946,"udito",-0.413,8.042,0.867,0.615,11,2,1.367,0.016,-1.807,0,2.6,-1.106,3,-0.061,4.55,-0.49,3.947
"brillante",-0.762,0.128,-0.738,0.162,-0.665,0.333,-0.546,0.59,1.585,4.974,1.585,4.974,"vista",-1.126,6.188,0.733,0.783,9,1770,4.241,17.462,1.242,6,1.5,0.605,6.105,-0.539,3.529,0.644,6.368
"brontolante",-0.829,0,-0.792,0.077,-0.682,0.308,1.397,4.667,0.479,2.744,1.397,4.667,"udito",-0.426,7.795,0.848,0.599,11,NA,NA,NA,NA,0,2.45,-0.904,3.278,-0.246,4.3,-0.381,4.263
"bronzeo",-0.753,0.154,-0.633,0.41,-0.361,0.974,-0.543,0.579,1.474,4.795,1.474,4.795,"vista",-0.816,6.912,0.99,0.671,7,1,1.191,0.008,-2.108,2,1.8,-0.704,3.684,0.77,5.353,-0.193,4.842
"bruciato",1.003,4.059,1.242,4.545,-0.043,1.818,-0.691,0.441,1.212,4.5,1.242,4.545,"olfatto",2.723,15.364,1.426,0.267,8,1413,4.198,15.841,1.2,12,1.2,0.767,6.765,-1.046,2.889,0.551,6.167
"brunito",-0.81,0.219,-0.81,0.219,-0.784,0.25,-0.867,0.094,1.196,4.484,1.196,4.484,"vista",-2.074,5.265,0.618,0.834,7,1,1.191,0.008,-2.108,1,1.95,-1.517,2.211,0.899,5.467,-0.874,3.833
"bruno",-0.86,0.088,-0.813,0.152,-0.823,0.147,-0.873,0.059,1.463,5,1.463,5,"vista",-1.906,5.446,0.391,0.907,5,2,2.066,0.109,-0.962,18,1.05,0.364,6.059,-0.927,3.056,0.247,5.667
"brutto",-0.174,1.359,-0.007,1.718,-0.156,1.359,0.254,2.263,1.544,4.897,1.544,4.897,"vista",1.461,11.596,1.468,0.305,6,6654,4.903,80.303,1.905,16,1,1.173,7,-1.779,2.1,0.936,6.684
"buio",-0.883,0.025,-0.832,0.125,-0.82,0.15,-0.636,0.5,1.49,4.975,1.49,4.975,"vista",-1.679,5.775,0.542,0.857,4,3175,4.556,36.123,1.558,27,1,0.943,6.737,-1.51,2.235,0.821,6.632
"burroso",1.362,4.794,0.352,2.636,0.637,3.294,-0.763,0.294,0.564,3.118,1.362,4.794,"gusto",2.152,14.136,1.433,0.318,7,12,2.036,0.101,-0.994,3,1.8,-0.692,3.722,0.346,5.15,-0.25,4.474
"cachi",-0.307,1.189,-0.467,0.865,-0.634,0.541,-0.854,0.081,1.334,4.622,1.334,4.622,"vista",-0.929,7.297,1.08,0.622,5,55,2.741,0.545,-0.263,17,1,-0.384,4.765,0.172,4.556,-0.523,4.167
"cadente",-0.844,0,-0.823,0.028,0.01,1.811,-0.204,1.351,1.286,4.472,1.286,4.472,"vista",-0.574,7.662,0.982,0.584,7,118,3.083,1.208,0.082,8,1.45,-0.114,5.118,-0.31,3.882,-0.12,5
"cadenzato",-0.865,0.029,-0.836,0.083,-0.485,0.833,1.039,4.028,0.257,2.417,1.039,4.028,"udito",-0.89,7.39,1.014,0.541,9,1,1.191,0.008,-2.108,4,2.35,-0.849,3.333,1.176,6.278,-1.381,2.556
"caldo",0.272,2.308,-0.33,1.026,1.534,4.872,-0.581,0.553,0.339,2.462,1.534,4.872,"tatto",1.234,11.219,1.387,0.385,5,4268,4.732,54.107,1.733,28,1,1.073,6.947,-1.361,2.412,0.986,6.947
"caliginoso",-0.801,0.176,-0.34,1.147,-0.313,1.206,-0.742,0.294,0.983,3.912,0.983,3.912,"vista",-1.213,6.735,1.157,0.555,10,NA,NA,NA,NA,1,3.3,-1.611,2.053,1.699,6.571,-1.509,2.684
