word_english,length,familiar_mean,familiar_n,aoa_subjective_mean,aoa_subjective_n,transparency_mean,transparency_n,lmd_mean,lmd_n,imagine_mean,imagine_n,ser_mean,ser_n,familiar_z,aoa_zscore,transparency_z,lmd_zscore,imagine_zscore,ser_zscore
toadstool,9,3.5,14,5.47,15,2.53,15,5.69,13,3.57,21,1.8,15,-2.17,0.75,-1.66,0.44,-0.52,-1.08
toenail,7,6.93,14,2.07,15,6.64,14,4.93,15,6.81,21,4.73,15,0.94,-2.16,1.76,-0.1,1.6,1.74
tombstone,9,6.86,14,4.4,15,5.71,14,3.93,15,6.48,21,4.27,15,0.88,-0.16,0.99,-0.79,1.38,1.29
torchlight,10,4.71,14,4.8,15,5.93,15,5.86,14,5.48,21,3.33,15,-1.07,0.18,1.17,0.55,0.73,0.4
tortoiseshell,13,5.79,14,4.53,15,5.93,14,5.13,15,6.29,21,3.93,15,-0.09,-0.05,1.17,0.04,1.26,0.97
touchdown,9,6.93,14,3.67,15,3.73,15,4.93,14,5.76,21,4.4,15,0.94,-0.79,-0.66,-0.1,0.92,1.42
touchstone,10,3.86,14,5.73,15,2.85,13,6,9,2.9,21,1.23,13,-1.85,0.98,-1.4,0.65,-0.95,-1.62
township,8,4.57,14,5.6,15,2.92,13,1.57,14,3.62,21,1.86,14,-1.2,0.86,-1.34,-2.45,-0.48,-1.02
trademark,9,6.64,14,4.8,15,3.67,15,6.27,15,3.62,21,1.67,15,0.68,0.18,-0.72,0.84,-0.48,-1.21
treadmill,9,6.86,14,4.4,15,3.2,15,3.8,15,6.57,21,3.8,15,0.88,-0.16,-1.11,-0.89,1.45,0.85
tugboat,7,5.71,14,3.2,15,4.67,15,7,15,5.71,21,2.2,15,-0.16,-1.19,0.11,1.35,0.89,-0.69
tumbleweed,10,5.29,14,5.33,15,4.69,13,6.87,15,5.33,21,3.2,15,-0.55,0.64,0.14,1.26,0.64,0.27
turtledove,10,4.57,14,4.33,15,3.07,15,7.69,13,4.86,21,2.07,15,-1.2,-0.22,-1.22,1.83,0.32,-0.82
turtleneck,10,6.86,14,2.87,15,3.43,14,7.87,15,6.76,21,4,15,0.88,-1.47,-0.92,1.96,1.57,1.04
update,6,6.5,14,4.47,15,3.29,14,5.93,15,2.19,21,1.73,15,0.55,-0.11,-1.04,0.6,-1.42,-1.14
upend,5,3,14,6.47,15,2.91,11,5.62,13,2.05,21,2.27,15,-2.63,1.6,-1.35,0.38,-1.51,-0.63
upgrade,7,6.57,14,4.53,15,3.36,14,3.8,15,2.38,21,2,15,0.62,-0.05,-0.98,-0.89,-1.29,-0.88
uphill,6,6.64,14,3.2,15,6.2,15,4.93,15,4.76,21,3.21,14,0.68,-1.19,1.39,-0.1,0.26,0.28
uphold,6,5.86,14,5.2,15,3.43,14,5.87,15,2.24,21,1.93,15,-0.03,0.52,-0.92,0.56,-1.39,-0.95
upkeep,6,5.5,14,5.67,15,3.54,13,6.5,14,1.95,21,1.87,15,-0.35,0.92,-0.83,1,-1.57,-1.01
uplift,6,6.21,14,5.33,15,4.4,15,5.6,15,2.67,21,2.13,15,0.29,0.64,-0.11,0.37,-1.11,-0.76
upright,7,6.64,14,4.27,15,4.2,15,4.07,15,4.52,21,1.93,15,0.68,-0.28,-0.28,-0.7,0.11,-0.95
uproar,6,6.57,14,5,15,4.13,15,5.87,15,3.14,21,3.93,15,0.62,0.35,-0.33,0.56,-0.8,0.97
uproot,6,5.71,14,5.53,15,4.53,15,4.93,15,3.48,21,2.53,15,-0.16,0.81,0,-0.1,-0.58,-0.37
upset,5,7,14,1.87,15,1.4,15,5.29,14,3.29,21,3.47,15,1.01,-2.33,-2.61,0.15,-0.7,0.53
upshot,6,2.93,14,6,15,2.91,11,4.71,14,1.86,21,1.4,15,-2.69,1.21,-1.35,-0.25,-1.64,-1.46
upside,6,6,14,4.8,15,3.8,15,3.93,14,1.76,21,1.6,15,0.1,0.18,-0.61,-0.8,-1.7,-1.27
upstage,7,6.43,14,5.6,15,3.4,15,5.47,15,3.29,21,1.6,15,0.49,0.86,-0.94,0.28,-0.7,-1.27
upstream,8,6.43,14,3.93,15,5.13,15,5.53,15,4.33,21,3.07,15,0.49,-0.56,0.5,0.32,-0.02,0.14
uptight,7,6.36,14,4.93,15,2.13,15,7.13,15,2.24,21,2.27,15,0.42,0.29,-2,1.44,-1.39,-0.63
uptown,6,5.57,14,5.07,15,4.36,14,5.93,15,4,21,3.27,15,-0.29,0.41,-0.14,0.6,-0.24,0.33
uttermost,9,5.07,14,5.87,15,3.36,14,6,15,1.19,21,1.4,15,-0.74,1.09,-0.98,0.65,-2.07,-1.46
viewpoint,9,6.07,14,5.4,15,4.93,14,3.53,15,2.81,21,3.2,15,0.16,0.69,0.33,-1.07,-1.01,0.27
vineyard,8,6.57,14,4.47,15,5.29,14,4.47,15,6.48,21,3.93,15,0.62,-0.11,0.63,-0.42,1.38,0.97
waistband,9,6.29,14,4.87,15,5.57,14,4.27,15,4.76,21,3.27,15,0.36,0.24,0.87,-0.56,0.26,0.33
waistcoat,9,4.71,14,5.53,15,4.27,15,7.21,14,4.71,21,2.27,15,-1.07,0.81,-0.22,1.5,0.23,-0.63
waistline,9,6.43,14,5,15,4.43,14,2.67,15,5.95,21,4.2,15,0.49,0.35,-0.08,-1.68,1.04,1.23
wallflower,10,5.5,14,6.33,15,3,14,4.47,15,3.62,21,3.6,15,-0.35,1.49,-1.28,-0.42,-0.48,0.65
wallpaper,9,6.93,14,4.13,15,5.79,14,5.53,15,6.14,21,3.6,15,0.94,-0.39,1.05,0.32,1.17,0.65
wanderlust,10,4,14,6.8,15,4.23,13,4.75,12,2.14,21,1.6,15,-1.72,1.89,-0.25,-0.22,-1.45,-1.27
wartime,7,6.57,14,4.6,15,6.31,13,3.47,15,5.33,21,4,15,0.62,0.01,1.48,-1.12,0.64,1.04
wastebasket,11,6.93,14,3.13,15,6.27,15,5.2,15,6.05,21,2.47,15,0.94,-1.25,1.45,0.09,1.1,-0.44
wasteland,9,6.07,14,5.33,15,4.57,14,4.47,15,5,21,3.73,15,0.16,0.64,0.03,-0.42,0.42,0.78
wastewater,10,4,14,6.2,15,4.79,14,5.8,15,4.57,21,3.67,15,-1.72,1.38,0.21,0.51,0.14,0.72
waterfall,9,6.93,14,2.8,15,6.27,15,4.67,15,6.57,21,4.6,15,0.94,-1.53,1.45,-0.28,1.45,1.62
waterfront,10,6.5,14,4.07,15,5.2,15,3.67,15,5.1,21,3.27,15,0.55,-0.45,0.56,-0.98,0.48,0.33
watermark,9,4.57,14,5.67,15,4.2,15,7.14,14,4.48,21,2.2,15,-1.2,0.92,-0.28,1.45,0.08,-0.69
watermelon,10,7,14,2.13,15,4.36,14,8.33,15,6.95,21,5.93,15,1.01,-2.1,-0.14,2.28,1.69,2.9
waterproof,10,6.93,14,4.13,15,3.79,14,3.8,15,4.43,21,3.67,15,0.94,-0.39,-0.62,-0.89,0.04,0.72
waterspout,10,5.29,14,4.8,15,6.46,13,5.13,15,4.76,21,3.27,15,-0.55,0.18,1.61,0.04,0.26,0.33
watertight,10,4.14,14,5.47,15,4.54,13,4.79,14,2.43,21,1.47,15,-1.59,0.75,0.01,-0.2,-1.26,-1.4
waterway,8,5.57,14,4.67,15,5.15,13,3.73,15,4.62,21,4.13,15,-0.29,0.07,0.52,-0.93,0.17,1.17
wedlock,7,5.21,14,6.2,15,2.82,11,4.47,15,2.43,21,2,15,-0.61,1.38,-1.43,-0.42,-1.26,-0.88
weekday,7,7,14,2.8,15,6.36,14,5.27,15,3.52,21,3.13,15,1.01,-1.53,1.52,0.14,-0.55,0.21
weekend,7,7,14,2.6,15,6.07,15,5.4,15,3.33,21,3.07,15,1.01,-1.7,1.28,0.23,-0.67,0.14
werewolf,8,6.64,14,3.67,15,2.79,14,8.27,15,6.38,21,3.93,15,0.68,-0.79,-1.45,2.24,1.32,0.97
whatever,8,7,14,3.47,15,3.23,13,4.33,15,1.86,21,2.47,15,1.01,-0.96,-1.08,-0.52,-1.64,-0.44
whatnot,7,5.93,14,5.33,15,2.6,15,3.5,14,1.05,21,1.07,15,0.04,0.64,-1.61,-1.1,-2.16,-1.78
