word_spanish,concrete_mean,familiar_mean,similar_word,similarity_mean,similarity_sd,concrete_mean_similar_word,familiar_mean_similar_word,less_similar_word,less_similarity_mean,less_similarity_sd,concrete_mean_less_similar_word,familiar_mean_less_similar_word,,,,,,,,,,,,,
hombro,6.41,6.35,antebrazo,5.43,2.08,6.85,5.52,útero,2.77,2.03,6.5,5.18,,,,,,,,,,,,,
hoz,5.21,3.37,martillo,5.14,2.22,5.9,5.63,puñal,3,1.76,5.65,"49,088",hucha,5.55,6.65,monedero,6.03,1.87,6.1,6.25,baúl,3.67,2.11,6.33,6.16
hueso,5.67,6.42,médula,5.27,2.27,5.92,5.22,estómago,2.77,1.81,6.38,5.66,,,,,,,,,,,,,
huésped,5.72,4.89,inquilino,6.59,2.44,5.15,5.05,amigo,3.89,2.13,5.85,6.78,,,,,,,,,,,,,
jamón,6.25,5.92,salchichón,5.9,2.11,6.5,6.5,tortilla,3.93,2.15,6.69,6.29,,,,,,,,,,,,,
jarrón,6.25,5.38,cántaro,5.83,2.22,5.65,2.95,bidón,3.7,2.14,5.8,5.4,,,,,,,,,,,,,
jaula,6.07,6.47,caja,5,1.98,4.58,6.53,tumba,2.4,1.9,5.6,4.88,,,,,,,,,,,,,
jazmín,6.45,3.09,lirio,5.52,1.88,6.33,3.54,helecho,3.7,2.02,4.75,2.55,,,,,,,,,,,,,
jilguero,5.6,3.05,ruiseñor,6.37,2.08,5.8,4.3,cisne,3.63,2.2,6.55,5.56,,,,,,,,,,,,,
ladrillo,6.16,4.85,piedra,5.17,2.28,6.3,6.42,granito,3.37,2.19,5.8,4.22,,,,,,,,,,,,,
lagartija,6.75,5.55,lagarto,8.2,0.76,5.9,5.47,ratón,4.17,2.18,5.95,5.96,,,,,,,,,,,,,
lámpara,6.11,6.15,candil,6.93,1.53,4.84,4.01,proyector,4.03,2.1,6.15,6.15,,,,,,,,,,,,,
lata,5.7,6.07,bote,5.97,2.71,4.72,5.24,bandeja,2.87,2.13,5.66,6.29,,,,,,,,,,,,,
laurel,6.23,4.37,orégano,6.4,1.83,6.55,6.1,mostaza,2.11,1.62,6.65,5.55,,,,,,,,,,,,,
lavavajillas,6.7,6.15,secadora,6.36,1.47,6.2,5.8,televisión,3.31,2.04,6.24,6.42,,,,,,,,,,,,,
leche,5.69,6.59,horchata,5.57,2.11,6.3,6.05,cerveza,3.97,2.09,6.03,6.53,,,,,,,,,,,,,
lechuga,6.15,6.68,col,7.1,1.71,6.2,6,champiñón,4.4,2.06,6.2,6.4,,,,,,,,,,,,,
lluvia,6.02,5.79,nieve,6.5,1.98,6.3,5.44,tornado,4.83,2.07,5.75,5.25,,,,,,,,,,,,,
madera,6.04,6.34,corcho,5,2.02,5.9,6.2,cemento,4.17,1.97,5.57,5.65,,,,,,,,,,,,,
manguera,5.95,5.9,tubería,5.27,1.76,5.85,5.25,acueducto,2.69,1.91,6.4,5,,,,,,,,,,,,,
manzana,6.13,6.54,naranja,5.93,2.03,5.64,6.44,coliflor,3.77,1.81,6.4,4.07,,,,,,,,,,,,,
mariposa,6.24,5.96,polilla,5,2.41,6.35,4.45,pavo,3.5,2.33,6.13,4.71,,,,,,,,,,,,,
médico,5.78,6.54,enfermera,6.67,1.54,6.6,6.4,abogado,3.43,1.99,5.54,5.5,,,,,,,,,,,,,
mejilla,6.57,5.44,pómulo,7.8,1.61,6.6,4.55,ingle,2.97,1.81,6.4,5.7,,,,,,,,,,,,,
melocotón,6.7,6.2,ciruela,5.47,2.15,6.32,6.05,nabo,4.3,1.95,5.8,4.4,,,,,,,,,,,,,
merluza,5.94,5.73,lenguado,7.17,1.14,6.25,6.05,sapo,3.43,2.3,6.1,5.05,,,,,,,,,,,,,
muela,6.25,6.15,colmillo,6.73,2.23,6.13,5.75,cuerno,2.4,1.71,5.47,5.85,,,,,,,,,,,,,
muleta,5.7,5.75,bastón,5.79,1.88,6.2,5.35,caña,2.36,1.31,4.51,5.97,,,,,,,,,,,,,
muñeca,5.6,6.5,marioneta,6.23,2.13,5.35,5.6,puzzle,3.67,2.41,5.8,6.25,,,,,,,,,,,,,
murciélago,6.58,5.92,ratón,5.55,2.06,5.95,5.96,erizo,3.83,2.21,5.85,6.25,,,,,,,,,,,,,
musgo,6.22,5.45,moho,6.43,2.49,5.8,4.25,arbusto,4.77,1.99,5.65,5.5,,,,,,,,,,,,,
muslo,5.49,5.43,pantorrilla,5.83,2.17,5.95,5.2,riñón,3.07,1.86,6.19,6,,,,,,,,,,,,,
naranjo,6.45,6,limonero,6.27,2.05,6.55,6.2,rosal,4.8,2.22,6.53,6.12,,,,,,,,,,,,,
nariz,6.65,6.5,barbilla,5.79,2.13,5.61,6.22,pulmón,3.83,1.86,6.25,5.74,,,,,,,,,,,,,
nido,5.4,6.01,madriguera,6.23,1.99,5.05,4.4,cueva,3.53,2.22,6,4.45,,,,,,,,,,,,,
