word_french,familiarity_mean_conceptual,familiarity_sd_conceptual,familiarity_min_conceptual,familiarity_max_conceptual,number_of_raters,rt_mean,rt_sd
attribution,79.632,19.325,30,100,19,5.13,2.596
aubergine,92.944,11.593,63,100,19,3.576,1.829
audace,34.126,18.687,50,100,19,8.973,14.089
audience,88.583,15.943,50,100,24,5.064,5.26
audition,88.368,13.566,56,100,19,5.04,5.222
auge,11.045,23.802,0,93,22,5.747,4.861
augmentation,94.045,8.499,70,100,22,7.01,8.395
augure,49,34.744,0,100,24,5.665,2.901
aune,18.556,17.508,0,97,24,4.951,1.483
aura,82.421,20.23,40,100,19,8,16.4
aurore,88.65,13.362,62,100,20,8.422,8.718
auteure,86.842,24.139,0,100,19,6.954,6.902
automate,57.8,29.646,0,100,20,5.899,3.993
automobile,92.667,12.435,50,100,21,5.84,8.419
autonomie,89.737,11.313,66,100,19,3.972,1.614
autorisation,84.316,14.442,55,100,19,6.558,6.155
autruche,91.429,11.307,62,100,21,6.658,10.696
auvent,63.75,35.632,0,100,24,7.262,7.404
avalanche,90.458,12.301,63,100,24,4.859,3.734
avantage,93.682,11.349,50,100,22,6.147,9.644
avatar,85.125,13.647,53,100,16,6.929,8.614
avenir,90.682,13.364,50,100,22,6.25,6.728
avenue,88.455,15.221,50,100,22,5.524,5.307
averse,90.5,8.849,22,100,24,4.028,1.407
avertissement,91.316,13.187,59,100,19,5.381,6.372
aveu,89.474,13.184,50,100,19,5.161,3.574
avion,92.857,11.804,50,100,21,5.375,4.676
aviron,74.8,29.447,0,100,21,7.396,8.996
avis,90.105,12.631,50,100,19,3.382,1.432
avoine,90.417,13.035,52,100,24,4.086,2.58
avortement,84.333,22.659,8,100,21,5.161,3.256
avril,93.864,11.179,64,100,22,6.687,9.866
axe,80.364,22.599,13,100,22,7.878,11.798
azote,79.864,29.781,50,100,22,5.959,5.911
babillard,92.25,11.072,56,100,16,5.56,7.134
bactérie,89.316,15.798,50,100,19,4.396,2.584
bagage,94.667,8.422,70,100,24,5.226,5.427
bagarre,91.727,14.072,50,100,22,4.313,3.843
bagatelle,54.19,31.731,0,96,22,7.887,8.96
bagnole,80.526,20.318,33,100,19,4.472,2.426
bague,96,6.186,86,100,16,3.775,2.026
bail,81.55,22.68,28,100,20,5.448,5.099
bain,95.526,5.891,82,100,19,4.428,3.86
baiser,94.6,6.652,76,100,21,4.887,4.912
balade,91.864,10.855,61,100,22,7.026,8.587
balai,95.381,5.714,80,100,21,7.039,11.46
balance,89.19,12.352,50,100,21,6.274,7.71
balançoire,95.773,8.17,0,100,22,4.608,3.601
balcon,91.235,13.335,50,100,17,5.384,4.806
baleine,93.938,9.943,67,100,16,6.776,13.418
balise,70.917,31.482,0,100,24,4.74,3.744
balle,93.8,7.58,79,100,16,8.19,13.178
ballet,89.542,15.573,50,100,24,6.009,7.765
ballon,94.045,10.697,63,100,22,6.466,7.741
baluchon,55.409,41.127,0,100,22,3.841,2.424
bambin,87.789,23.813,8,100,19,7.014,9.123
bambou,92.438,10.217,62,100,16,3.845,2.26
banane,96.619,5.945,79,100,21,8.681,11.61
bande,84,19.372,36,100,20,6.79,9.309
bandelette,70.714,32.044,0,100,21,8.024,7.171
banderole,74.227,30.314,2,100,22,7.284,8.757
banjo,71.333,31.087,0,100,24,5.22,4.124
banlieue,90.05,14.259,50,100,20,5.088,3.88
bannière,82.542,24.578,16,100,24,6.589,7.121
banque,94.955,7.737,77,100,22,3.812,2.505
banquet,82.158,16.561,39,100,19,8.341,10.53
baptême,87.333,21.707,0,100,24,3.993,2.654
baraque,72.474,29.251,4,100,19,5.286,3.63
barbe,93.813,6.814,82,100,16,7.142,10.428
barbecue,90.95,18.28,22,100,20,5.376,4.567
barbelé,79.25,29.538,0,100,16,4.375,3.387
barbiche,67.85,30.242,0,100,20,4.252,2.721
barge,33.1,38.429,0,100,24,4.968,0.867
baril,81.381,17.548,50,100,21,8.22,13.144
baron,65.619,30.092,0,100,21,5.19,4.06
baronne,55.684,30.844,0,100,19,4.329,2.717
barque,81.042,20.224,38,100,24,6.066,8.259
barrage,90.182,14.477,49,100,22,5.549,4.005
barrette,80.333,30.312,0,100,24,5.811,7.251
barricade,82.75,18.862,39,100,20,7.036,7.126
barrière,91.15,12.119,50,100,20,4.988,2.442
bascule,83.105,19.55,45,100,19,5.028,3.599
basket-ball,86.864,20.696,26,100,22,7.395,10.179
basse,73.053,31.126,0,100,19,9.483,10.103
bassine,71.316,29.069,4,100,19,5.67,4.257
bataille,86.5,9.268,50,100,24,8.296,8.431
bataillon,68.095,29.499,0,100,22,7.3,7.163
bateau,87.905,20.134,10,100,21,7.117,9.743
bâtisse,89,12.41,50,100,24,4.036,1.424
bâtonnet,90.526,12.053,66,100,19,8.345,13.886
battant,81.429,18.57,7,100,21,5.804,5.191
baume,66.105,30.715,1,100,19,5.147,3.594
bavure,71.625,32.25,2,100,24,5.86,6.303
bazar,79.85,19.935,30,100,20,4.198,2.171
bec,96.364,6.06,82,100,22,3.767,2.418
bedon,84.857,24.886,0,100,21,4.639,2.404
bègue,62.421,40.005,0,100,19,7.023,9.965
beignet,88.381,13.09,50,100,21,5.508,8.559
belette,55.316,34.485,0,100,19,4.859,2.111
belge,86.727,15.691,50,100,22,6.44,5.745
bélier,85.958,23.33,0,100,24,4.756,4.532
belvédère,70.045,30.966,0,100,22,7.354,8.109
bémol,75.368,25.138,12,100,19,5.144,5.851
bénéfice,87,9.859,71,100,24,4.887,1.415
benne,33.316,39.931,0,100,19,4.834,2.74
béquille,85.333,25.576,0,100,19,4.739,3.313
béret,74.591,23.025,20,100,22,6.073,6.14
berge,56.875,34.87,0,100,24,6.659,5.696
besogne,62.75,33.328,0,100,16,10.063,11.444
bestiole,80.789,23.513,0,100,19,5.192,3.718
bêtise,90.176,7.35,72,100,17,8.347,10.896
béton,88.818,15.438,50,100,22,4.276,3.047
betterave,87.227,15.556,50,100,22,5.568,8.591
beurre,91.778,12.393,58,100,19,5.127,4.621
